# Experimental Run Sat Nov 17 15:41:16 CET 2018;
Best Score,Run Time Milliseconds,Total Evaluations;
8620.0,15,21797;
7560.0,47,34459;
7390.0,47,29028;
7487.0,31,23522;
7155.0,31,27717;
7246.0,47,27958;
7292.0,16,22156;
7083.0,31,28112;
6975.0,31,25097;
7180.0,32,23919;
7174.0,31,23743;
7031.0,47,26939;
7329.0,47,25964;
7182.0,47,26167;
7127.0,31,31499;
7016.0,62,27789;
7239.0,32,27590;
7289.0,31,24285;
7059.0,47,34339;
7396.0,31,23163;
7221.0,31,31355;
7231.0,31,29467;
7401.0,32,21785;
7475.0,31,25428;
7245.0,31,30055;
7585.0,31,25120;
7450.0,32,27154;
7213.0,31,26495;
7175.0,31,28111;
6979.0,31,27671;
7434.0,31,32321;
6993.0,47,35648;
7314.0,31,27268;
7059.0,47,26469;
7000.0,47,32452;
7024.0,31,34035;
8427.0,47,31801;
7011.0,32,27019;
7422.0,15,22975;
7471.0,31,27243;
8033.0,31,26939;
7273.0,32,25100;
7311.0,31,28081;
7279.0,47,26728;
7028.0,31,24086;
7238.0,31,20001;
7155.0,47,42378;
7391.0,16,18490;
7435.0,62,33787;
7075.0,31,23590;
7136.0,47,32504;
7036.0,32,25659;
8343.0,31,32280;
7008.0,31,28296;
7407.0,63,35883;
7099.0,46,28123;
7446.0,32,24352;
7083.0,31,29777;
7375.0,31,29287;
6901.0,47,29492;
7078.0,31,26963;
7533.0,32,26394;
7150.0,31,26338;
7143.0,62,43559;
7036.0,47,26213;
7162.0,31,24514;
7135.0,32,29040;
6980.0,31,27478;
7160.0,47,46719;
7131.0,47,34316;
7407.0,31,28422;
7237.0,31,29718;
7016.0,31,26232;
7075.0,47,31877;
7279.0,32,28991;
7571.0,31,25617;
7016.0,47,31116;
7307.0,31,31329;
8355.0,31,23730;
7355.0,31,27138;
6980.0,32,22694;
7461.0,31,29969;
7214.0,31,30519;
7238.0,31,25516;
7028.0,32,25741;
7075.0,46,43456;
7547.0,16,25176;
7289.0,47,26244;
7173.0,31,26404;
7348.0,32,21810;
7429.0,31,24377;
7083.0,31,31825;
7506.0,31,24218;
6993.0,32,26382;
7289.0,47,29494;
7047.0,15,23608;
7317.0,31,20078;
7193.0,32,21661;
6971.0,31,29320;
7312.0,31,32617;
7373.0,47,31054;
7150.0,78,40996;
7099.0,16,21274;
7200.0,62,48477;
6980.0,32,30249;
7188.0,31,23448;
7028.0,31,29728;
7127.0,31,24848;
7000.0,47,31313;
7016.0,31,29533;
7335.0,32,23626;
6979.0,31,31923;
7008.0,31,29378;
6901.0,31,26926;
7031.0,32,24422;
6988.0,31,29539;
7387.0,47,27155;
7384.0,15,22300;
7446.0,32,26973;
7478.0,31,22828;
6975.0,31,29767;
7292.0,63,29234;
7494.0,31,19073;
7315.0,31,25417;
7305.0,31,27544;
7315.0,32,27996;
7538.0,47,32562;
7443.0,31,35849;
7136.0,47,31597;
6980.0,31,26518;
7251.0,31,25432;
7041.0,31,26882;
7305.0,32,28357;
6988.0,31,23599;
7298.0,31,26828;
6993.0,47,36581;
7075.0,47,35959;
7292.0,31,26225;
7427.0,47,25298;
8035.0,31,23575;
7462.0,32,21693;
6979.0,31,27830;
7271.0,47,21927;
7319.0,31,23201;
7332.0,31,24439;
7365.0,16,20600;
7505.0,31,24380;
7493.0,47,30745;
7477.0,16,23337;
7062.0,31,22094;
7478.0,31,27438;
7213.0,47,32292;
7281.0,31,26584;
